Country;refugees per 1000 inhabitants;2014;;;;;;;;;
Peru;0.05;1,41;;;;;;;;;
Philippines;;254,00;;;;;;;;;
Poland;0.41;15,74;;;;;;;;;
Portugal;0.07;699,00;;;;;;;;;
Qatar;0.06;133,00;;;;;;;;;
South Korea;0.03;1,31;;;;;;;;;
Romania;0.12;2,43;;;;;;;;;
Russia;2.20;315,31;;;;;;;;;
Rwanda;11.70;132,74;;;;;;;;;
Saint Kitts and Nevis;0.02;1,00;;;;;;;;;
Saint Lucia;0.01;2,00;;;;;;;;;
Sint Maarten;0.08;3,00;;;;;;;;;
Saudi Arabia;0.01;184,00;;;;;;;;;
Senegal;0.97;14,30;;;;;;;;;
Serbia and Kosovo;3.97;35,31;;;;;;;;;
Sierra Leone;0.22;1,37;;;;;;;;;
Singapore;;;;;;;;;;;
Slovakia;0.15;799,00;;;;;;;;;
Slovenia;0.14;283,00;;;;;;;;;
Solomon Islands;0.01;3,00;;;;;;;;;
Somalia;0.34;3,58;;;;;;;;;
South Africa;2.12;114,51;;;;;;;;;
South Sudan;22.32;265,89;;;;;;;;;
Spain;0.13;5,80;;;;;;;;;
Sri Lanka;0.04;848,00;;;;;;;;;
Sudan;9.05;322,64;;;;;;;;;
Suriname;;1,00;;;;;;;;;
Swaziland;0.42;539,00;;;;;;;;;
Sweden;14.66;142,21;;;;;;;;;
Switzerland;8.45;69,39;;;;;;;;;
Syria;7.95;149,20;;;;;;;;;
Tajikistan;0.21;1,78;;;;;;;;;
Tanzania;3.07;159,01;;;;;;;;;
Thailand;1.63;56,95;;;;;;;;;
East Timor;;;;;;;;;;;
Togo;3.07;21,88;;;;;;;;;
Tonga;;;;;;;;;;;
Trinidad and Tobago;0.09;121,00;;;;;;;;;
Tunisia;0.07;824,00;;;;;;;;;
Turks and Caicos Islands;0.12;4,00;;;;;;;;;
Turkey;23.72;1838,85;;;;;;;;;
Turkmenistan;0.01;27,00;;;;;;;;;
Uganda;11.34;428,40;;;;;;;;;
Ukraine;0.07;3,23;;;;;;;;;
UAE;0.05;424,00;;;;;;;;;
United Kingdom;1.82;117,23;;;;;;;;;
United States;0.84;267,22;;;;;;;;;
Uruguay;0.08;289,00;;;;;;;;;
Uzbekistan;;118,00;;;;;;;;;
Vanuatu;;;;;;;;;;;
Venezuela;5.68;5,65;;;;;;;;;
Vietnam;;;;;;;;;;;
Yemen;10.05;263,05;;;;;;;;;
